source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
frequency_20260924T094934Z.jsonl,frequency,73.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,-6.54841e-10,-0.03803950596751785,7.322339549709056e-05
frequency_20260924T094934Z.jsonl,frequency,173.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,-1.3824399999999998e-09,-0.08030546028865339,7.398529439952217e-05
frequency_20260924T094934Z.jsonl,frequency,333.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,-2.8376399999999997e-09,-0.1648371769107868,7.714172931456231e-05
frequency_20260924T094934Z.jsonl,frequency,733.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.86479e-08,0.0,9.86479e-07,0.0,9.865519999999997e-07,-6.1845999999999995e-09,-0.3591770491377003,9.365140269451066e-05
frequency_20260924T094934Z.jsonl,frequency,1033.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.8677e-08,0.0,9.8677e-07,0.0,9.868429999999997e-07,-8.731179999999998e-09,-0.5069162079168376,0.00011312077239760338
frequency_20260924T094934Z.jsonl,frequency,1733.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.87934e-08,0.0,9.87934e-07,0.0,9.878609999999999e-07,-1.4624699999999997e-08,-0.8481682928042099,3.567961215999776e-05
frequency_20260924T094934Z.jsonl,frequency,3333.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.922999999999998e-08,1.6209363407021978e-23,9.922999999999998e-07,1.6209363407021977e-22,9.920089999999998e-07,-2.8521899999999997e-08,-1.6468947491549424,0.00011986415808864277
frequency_20260924T094934Z.jsonl,frequency,7333.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.0164333333333333e-07,4.6188021535146025e-12,1.0164333333333333e-06,4.618802153514602e-11,1.0143966666666666e-06,-6.628429999999999e-08,-3.738595850488339,0.00012460529840089085
frequency_20260924T094934Z.jsonl,frequency,10330.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.05094e-07,0.0,1.05094e-06,0.0,1.04651e-06,-9.657676666666664e-08,-5.272584579806076,1.6011263438078118e-05
frequency_20260924T094934Z.jsonl,frequency,17330.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.1873e-07,0.0,1.1873e-06,0.0,1.1678699999999999e-06,-2.1459333333333328e-07,-10.411821142500791,0.00010262275849253025
frequency_20260924T094934Z.jsonl,frequency,23330.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.4101633333333334e-07,7.505553499473645e-12,1.4101633333333332e-06,7.505553499473645e-11,1.3481466666666665e-06,-4.138103333333333e-07,-17.06374050509972,4.4704738583189994e-05
frequency_20260924T094934Z.jsonl,frequency,53330.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.09576e-07,0.0,1.09576e-06,0.0,-8.836939999999999e-07,-6.478803333333332e-07,-143.75299038581156,-1.0812859587284267e-05
